"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000001076",20,22.6875,33.8125,20,24.75,39.71875,20,20,26.5625,20,20,20,20,20,20,20
"ENSMUSG00000038009",449.625,258.65625,257.75,333.5,131.6875,206.3125,137.1875,212.4375,273.1875,370.8125,283.75,273.5625,346.15625,537.46875,628.125,571.6875
"ENSMUSG00000051934",3544.625,2956.4375,2685,2754.3125,2336.65625,2205.5625,1987.28125,2458.875,2916.28125,3475.1875,4275.90625,5133.875,5971.5,6167.75,5891.03125,5500.96875
"ENSMUSG00000037579",966.6875,912,453.8125,531.53125,173.75,138.78125,273.4375,257.8125,309.90625,239.5625,674.625,426.9375,250.875,78.3125,35.125,32.5
"ENSMUSG00000037570",5798.125,5787,5516,5603.0625,5558.4375,6133.5625,5393.5,5127.125,5667.5625,5029.78125,5686,5469.125,6208.4375,5183.25,6140.125,6206.125
"ENSMUSG00000100599",32.1875,41.9375,54.875,61.125,56.6875,54.875,61.84375,57.6875,64.4375,58.4375,69.875,99.75,92.875,125.03125,137.3125,124.5
"ENSMUSG00000078907",33,47.4375,37.75,50.5,60.0625,33.5,99.21875,37.75,31.5625,22.1875,20,24.625,20,43.25,40.25,33.625
"ENSMUSG00000023007",2315.1875,2872.4375,1857.71875,1392.1875,1294.5625,911.125,2144.8125,1935.0625,2300.375,2812.5625,2551.5,2726.34375,2494.875,3484,3595.90625,3857.3125
"ENSMUSG00000023008",1529.9375,1794.4375,1719.9375,1895.375,1962.125,1975.8125,2406.875,2061.125,2263.9375,2311.90625,1785.21875,1880.5625,1960.625,1873.34375,1230.34375,1367.5
"ENSMUSG00000023010",18246.25,14278.375,17229.125,15804,16133.5,15755.1875,15804,14250.9375,13794.1875,12397.5625,12719.25,11304.0625,15755.1875,12806.4375,16546.875,14846.875
"ENSMUSG00000023009",700.125,440.34375,439.78125,302.53125,411.75,380.15625,479.71875,303.1875,419.5625,349.9375,662.5625,667.4375,546.25,253.34375,455.125,257.5
"ENSMUSG00000089968",29.375,20,20,20,20,20,33.875,20,20,20,20,20,20,20,21,20
"ENSMUSG00000116249",30.375,20.5625,20,20,32.875,28.25,44.1875,29.375,20,42.125,36.4375,34.09375,54.875,71.0625,68.28125,85.75
"ENSMUSG00000037525",662.4375,676.5625,391.5,554,675.1875,918.75,884.875,951.4375,1072.0625,1162.375,1251.25,1444.25,928.375,1215.125,1188.1875,1368.625
"ENSMUSG00000023011",20,20,20,20,20,20,20,20,20,20,20,20,64.9375,32.75,37,41
"ENSMUSG00000044217",20,20,20,20,20,20,20,20,20,20,20,20,36.4375,21.625,41.875,20
"ENSMUSG00000043144",20,20,20,20,20,20,20,20,20,20,20,20,27.25,23.5,20,20
"ENSMUSG00000023015",10030.4375,9482.03125,8941.5,9898.4375,9788.1875,11104.0625,10688.125,10519.375,10544.9375,10922.625,10570.0625,10100.4375,10990.3125,11269.9375,12740.625,11995.125
"ENSMUSG00000023017",315.8125,218.3125,269.78125,341.4375,559.0625,513,535.125,575.40625,489.5625,555.0625,451.78125,567.75,576.125,469.5,457.9375,368.03125
"ENSMUSG00000023018",7646.5625,6694.6875,5016.0625,4888.5625,6912,7358.9375,10632.375,9670.4375,13127.75,9809.625,13190.1875,13185.1875,11666.625,9454.6875,8811.625,7690.125
"ENSMUSG00000116250",29.375,34.09375,37.75,42.125,76,74.0625,106.625,79.53125,82.625,82.125,124.46875,122.28125,60.0625,55.5625,21.5,35.625
"ENSMUSG00000023019",53.9375,74.375,124.75,103.90625,156.03125,86.8125,72,79.53125,80.8125,54.1875,90.25,102.6875,85.875,43.25,41.03125,26.75
"ENSMUSG00000023020",1365.65625,1051.5625,1026.25,1103.9375,1295.25,1312.59375,1247.25,1244.1875,1112.21875,974.71875,1105.9375,1043.625,1008.875,1550.5,911.4375,1327
"ENSMUSG00000023021",3775.125,4051.9375,4173.8125,4509.5625,3835.5,3689.15625,4108.03125,4137.15625,4814.0625,3947.4375,5277.5625,5053.3125,6016.625,4030.5625,4762.90625,4137.15625
"ENSMUSG00000023022",34500.3125,28097.125,24059.9375,21397.625,6709.03125,6271.8125,7300.875,6628.9375,7268.9375,11251.625,4565.1875,5161.625,4163.9375,4351.8125,5509.21875,4548.9375
"ENSMUSG00000090500",33.9375,28.5625,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000116518",91.625,115.625,28.4375,52.625,53.25,40.875,52.5625,57.6875,29.53125,78.1875,37.25,43.03125,33.875,76.125,90.84375,104
"ENSMUSG00000115856",41.875,66.3125,20,20,22.1875,24.75,22.5,20,25.5,57.4375,20,20,20,20,41.03125,41
"ENSMUSG00000116478",37.75,20,20,20,20,20,20,20,20,20,20,20,20,20,22.375,20
"ENSMUSG00000045350",23.3125,49.3125,48.375,25.625,40.625,22.1875,32.9375,36.625,20,20,20,20,20,20,20,20
"ENSMUSG00000096111",26.1875,20,30.5,20,35.75,20,26.4375,28.375,28.4375,20,20,20,20,20,20,20
"ENSMUSG00000023025",13686.875,15446.125,15691.4375,17195.5625,17737.5625,16546.875,16489.5625,17965.625,16455.25,20670.5,22029.6875,22348.375,16060.5,17088.625,15145.0625,14064.3125
"ENSMUSG00000100084",56.6875,20,31.5625,42.125,29.3125,33.5,21.0625,20,36.4375,20.6875,39.34375,31.8125,38.375,49.25,69.9375,20
"ENSMUSG00000023026",5232,5313.0625,3935.53125,4009.5625,4639,5171.03125,3693,3894.75,4125.875,6287.5,5541.9375,7198.9375,6801.5,9121.9375,8789.625,9326.0625
"ENSMUSG00000023027",3359.8125,3323.9375,4340.8125,4884.71875,4894.21875,5313.0625,5086.8125,5133.875,5518.125,4949.5625,5116.3125,4992.59375,4792.5,4742.1875,3501.1875,3461.0625
"ENSMUSG00000045631",112.1875,76.9375,91.0625,49.3125,64.625,59.1875,80.15625,93.15625,135.4375,85.875,82.125,70.75,20,53.25,41.03125,43.25
"ENSMUSG00000054619",647.3125,444.5625,174.8125,238.21875,338.0625,340.65625,366.5,433.625,468.5625,547.5,553.625,458.1875,717.25,790.3125,893.6875,816.28125
"ENSMUSG00000058057",20,20,28.4375,20,32.875,22.9375,30.125,24.125,46.8125,28.4375,54.90625,51.3125,57.75,21.0625,21.5,32.5
"ENSMUSG00000056487",20,20,20,20,20,20,20,20,20,20,20,20,45.125,20,20,20
"ENSMUSG00000023030",1924.9375,1957.5,2308.4375,2595.75,2621.875,2880.9375,2029.125,2036.15625,1731.5625,1847.375,2527.875,2612.25,3260.1875,2764.5,2330.1875,2565.3125
"ENSMUSG00000097827",51.0625,52.875,26.5625,42.125,34.9375,29.125,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000037353",1580.75,1971.40625,1500.875,1605.6875,824.84375,839.4375,509.75,418.8125,121.4375,85.875,84.375,55.9375,189.125,104,395.125,368.03125
"ENSMUSG00000044636",3914.0625,3890.09375,4125.875,5151.75,3724.46875,3862.875,2781.75,2531.3125,1596.8125,1196.375,1205.5,1333.625,1596.5625,1153.4375,939.125,958.15625
"ENSMUSG00000009733",2720.5625,3578.78125,2926.40625,3014.875,3218.40625,2845.125,2983.9375,2163.75,1254.3125,1269.9375,888.6875,908.375,1030.875,1531.75,1543.25,1458.5625
"ENSMUSG00000009739",794.3125,1190.5,822.5625,1019.25,711.5625,826.375,476.125,549.125,799.1875,914.0625,1061.3125,1179.25,295.875,419.6875,336.9375,368.03125
"ENSMUSG00000116164",71.0625,20.5625,20,20,26.5625,21.5,20.5625,29.375,20,20,20,20,20,20,20,23.3125
"ENSMUSG00000097093",44.125,74.375,25.5625,56.625,53.25,44.25,25.46875,37.75,20,20,20,20,37.25,44.1875,23.3125,43.25
"ENSMUSG00000000346",4974.1875,4870.75,6460.15625,6282.25,3956.8125,4698.65625,3669.125,3662.875,3683.75,3429.8125,4059.875,3678.75,3474.625,3416.75,3747.75,3178.8125
"ENSMUSG00000053559",1459.0625,1250.75,1032,890.5,890.5,1063.84375,1072.5625,1076.65625,2645.34375,1812.125,2790.875,2835.84375,1489.8125,1849.15625,947.9375,948.5
"ENSMUSG00000098112",2358.8125,2014.5625,1873.0625,1362.46875,1256.75,1136.25,1432.1875,1166.9375,1096.1875,1155.125,816.1875,891.8125,782.25,624.0625,512.375,495.1875
"ENSMUSG00000023031",54.875,32.1875,53.875,41.0625,22.1875,29.75,20,34.625,29.53125,33.8125,20,28.3125,52.9375,46.3125,25.90625,26.75
"ENSMUSG00000037280",1945.53125,3179.21875,2116.625,2613.25,1799.125,1424.90625,2768.53125,2367.75,3055.6875,2408.25,2379.375,2112.1875,697.1875,738.65625,73.34375,81.5
"ENSMUSG00000090062",20,38,20,20,20,20,20,20,49.625,26.6875,27.25,20,20,20,20,20
"ENSMUSG00000023032",688.0625,1286.5625,736.3125,826.375,459.21875,472.5,586.65625,712.1875,628.4375,794.4375,672.8125,712.28125,1045.90625,1081.4375,1069.21875,1054.625
"ENSMUSG00000023033",409.75,432.5625,413.375,383.625,201.125,181.3125,194,258.84375,193.96875,211.8125,72.84375,96.25,157.875,164.5625,381.15625,391.6875
"ENSMUSG00000095440",278.46875,261.625,169.625,90.125,72.6875,72.1875,39.5625,102.625,108.6875,152.0625,130.625,172.1875,217.0625,126.03125,381.15625,260.46875
"ENSMUSG00000000530",107,106.625,26.5625,42.125,96.375,102.9375,92.5625,122.59375,100.3125,141,64.375,137.25,58.875,47.375,28.875,20
"ENSMUSG00000000532",4967.1875,5597.8125,3399.125,3775.125,4340.3125,3460.625,3664.3125,2906.9375,1412.53125,2107.0625,1700.125,1893.4375,2356.3125,2612.75,3528.375,3138.875
"ENSMUSG00000097915",64.125,32.1875,20,20,30.125,26.5,21.5,29.375,29.53125,20,23.1875,20,35.25,23.5,21,20
"ENSMUSG00000000531",2534.9375,2250,1781.25,1711.625,584.9375,562.15625,429.25,491.3125,344.0625,304.6875,168.0625,234.4375,319.375,179.9375,181.1875,175.3125
"ENSMUSG00000023034",1869.71875,1305.5,1171.25,1461.3125,1334.1875,1504.78125,1528.625,1233.125,918.65625,860.53125,684.71875,938.5,924,783,1264,905.375
"ENSMUSG00000037204",3052.5,2882.5625,4036.625,3754.53125,3842.1875,3763.125,3922.5,3673.8125,3368.875,3103.25,3072.84375,2771.34375,3161.59375,2655.625,2518.46875,2560.75
"ENSMUSG00000075408",20,20,47.125,28.9375,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000116395",20,20,20,20,20,20,20,20,20,20,20,20,20,23.5,20,20
"ENSMUSG00000116114",20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20
"ENSMUSG00000037185",20,20,20,20,20,20,20,20,20,20,20,20,64.9375,30.5,56.5625,62.5
"ENSMUSG00000023039",102.875,106.625,103.71875,33,46.875,48.28125,28.3125,33.625,37.25,35.5,103.125,87.9375,294.875,217.59375,197.21875,208.9375
"ENSMUSG00000056605",20,20,20,20,20,20,20,20,20,20,20,20,26.375,20,20,20
"ENSMUSG00000046834",20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.5,26.75
"ENSMUSG00000067594",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.75
"ENSMUSG00000061397",20,20,20,20,20,20,20,20,20,20,20,20,68.5625,23.5,32.3125,20
"ENSMUSG00000050463",20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.25,20
"ENSMUSG00000049382",356.03125,159.65625,271.8125,419.1875,549.4375,855.40625,731.3125,784.8125,582.625,618.875,482.28125,501.6875,842.34375,620.75,3590.625,1894.09375
"ENSMUSG00000023043",168.8125,90.6875,217.40625,243.25,609.90625,1332.1875,253.40625,356.125,617.125,904.15625,3090.5,3198.0625,3354.625,5263.625,19845.5,15184.0625
"ENSMUSG00000058655",83181.3125,72085.125,65924,65295.875,55248.125,54456.6875,62038.5,60511.8125,58882.3125,73234.375,60511.8125,60511.8125,70386.9375,62038.5,92244.875,84754.6875
"ENSMUSG00000037003",215.90625,230.5625,123.59375,131.6875,251.625,223.125,178.875,252.1875,347.40625,327.125,1268.375,1497.5625,1286.5625,762.6875,406.1875,434.34375
"ENSMUSG00000036966",1320.1875,1316.15625,1388.78125,1247.6875,1557.03125,1550.5,1367.3125,1114.125,1174.25,1011.5,1178.03125,1028.03125,1231,1142.40625,1178.1875,1054
"ENSMUSG00000023046",20,20,20,20,68.5625,195.6875,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000023045",184.09375,127.75,120.9375,103.90625,83.875,37.8125,149.84375,153.0625,210.5625,327.125,89,123.34375,213.6875,388,110.125,120.6875
"ENSMUSG00000023044",2464.8125,3432.5625,2229.59375,2268.34375,1817,1786.25,3415.375,3549.375,3619.875,4477.3125,2246.5625,2457.84375,1252.0625,1681.9375,1364.6875,1028.8125
"ENSMUSG00000046897",11251.625,12600.25,9969.75,10771.4375,13045.375,11146.5,20348.6875,20218.4375,23546.5625,23860.5,14799,15994.375,12685.5,12365.5625,11353.25,10825.3125
"ENSMUSG00000001281",681.5625,934.4375,622.4375,509.6875,405.375,412.125,937.375,1057,1013.84375,1228.5,633.5,628,340.21875,371.84375,102.0625,138.75
"ENSMUSG00000001288",3652.875,3447.8125,2642.53125,3573.375,8467.9375,7410.15625,13686.875,11981.875,15250.375,11293.59375,10089,10845.875,8676.875,10922.625,7765.75,7315.75
"ENSMUSG00000097050",77.4375,96.25,52.71875,38.1875,137.3125,114.90625,201.5625,180.5,127.5,189.25,63.3125,80.15625,57.75,101.90625,96.25,65.375
"ENSMUSG00000045665",2771.34375,2327,2613.25,2776.53125,3091.53125,2911.8125,3398.5625,3150.9375,3561.875,2357.25,3348.375,3224.4375,3436.1875,2268.34375,1777.6875,1895.375
"ENSMUSG00000116091",20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20
"ENSMUSG00000058290",11947.5625,15849.3125,9770.3125,11353.25,10510.9375,12208.4375,12228.5,12926.375,9912.375,15288.875,12250.25,15608.875,13655.0625,15928.8125,13577.75,13371.0625
"ENSMUSG00000116183",20,20,20,20,20,20,20,20,20,23.8125,20,20,20,20,20,20
"ENSMUSG00000001289",5595.5625,5323.96875,5107.5,5169.0625,4655.875,6429.5,5333.6875,6029.6875,5648.875,5372.9375,5202.3125,5223.46875,5307,5216.0625,5537.15625,6834.25
"ENSMUSG00000001285",2650.59375,2682,2749.65625,2640.375,3275.8125,3289,3812.5625,3654.375,3832.34375,3262.75,3525.46875,3627.21875,3805.5,3372.875,2793.28125,3085.65625
"ENSMUSG00000036678",6674.6875,7427.625,6172.75,6982.8125,6429.5,6008.8125,8062.875,7802.3125,8112.5625,7856.78125,6322.75,6324.9375,7725.25,6386.9375,6566.75,6077.625
"ENSMUSG00000060284",20,20,20,20,20,20,20,20,20,20,20,43.03125,36.4375,35.03125,36.125,42.125
"ENSMUSG00000001280",22494.875,25839.75,22827.6875,23980.28125,21883.125,22173,24425.125,27208.1875,24693.8125,35916.75,25742.0625,30206.0625,17926.375,25299.5625,22135.125,24931.375
"ENSMUSG00000023047",526.25,616.375,307.375,297.625,90.5,175.71875,84.25,133.1875,202.4375,254.4375,182.375,134.4375,396.96875,352.75,165.40625,168.4375
"ENSMUSG00000097234",197.375,225.53125,262.625,409.625,248.125,277.6875,243,206.875,175.71875,211.8125,256.0625,365.875,155.4375,178.875,226.71875,184.09375
"ENSMUSG00000023048",1947.28125,2166.0625,1558.375,1387.8125,1043.4375,1339.375,796.25,823.34375,636.125,662.9375,630.40625,558.25,670.65625,442.375,785.4375,579.21875
"ENSMUSG00000056851",11861.375,7447.65625,5093.1875,5703.1875,5296.46875,6575.9375,4542.28125,5189,6218.6875,6209.5625,5216.75,10833.75,6608.84375,8290.25,7695.75,8509.0625
"ENSMUSG00000023050",1608.8125,3180.0625,1134.4375,1223.6875,1194.3125,1177.125,1342.625,1357.4375,972.28125,1286.25,1603.8125,1902,1671,1971.96875,1557.25,1638.625
"ENSMUSG00000023051",2788.96875,3258.125,3254.21875,3757.25,3868.5625,4125.0625,4420.8125,4282.125,5537.6875,3896.625,5280.6875,4799.125,4267.84375,3999.78125,2667.3125,3136.0625
"ENSMUSG00000023052",23.3125,41,47.125,33.875,22.1875,29.125,33.875,25.0625,20,22.9375,29.5625,43.03125,20,20,20,20
"ENSMUSG00000099083",1477.8125,1420,784.53125,938.8125,605.4375,693.65625,605.90625,650.875,516.34375,761.125,416.25,740.75,375.3125,440.6875,525.25,503.59375
"ENSMUSG00000036305",123.5,51.1875,57.6875,69.1875,62.625,84.25,55.125,66.375,89.0625,54.1875,51.875,51.3125,93.84375,52.125,66.4375,53.5625
"ENSMUSG00000116056",20,38,22.5625,20,30.125,20,30.125,48.125,20,20,20,47.8125,20,20,24.25,26.75
"ENSMUSG00000062683",3211,2707.125,2613.25,2421.40625,2222.84375,2291.3125,2636.5,2376.375,2881.4375,2434.125,2809.4375,2728.65625,3408.53125,3321.5625,3525.125,3902.0625
"ENSMUSG00000023055",1845.59375,1709.0625,1822.5625,1549.90625,2206.9375,2288.9375,2389.0625,2323.875,2122.1875,2241.9375,2366.625,2403.625,2230.75,1945.875,3185.9375,2930.8125
"ENSMUSG00000001655",795.625,684.71875,441.125,584.46875,389.8125,348.875,277.1875,213.375,82.625,73.71875,30.6875,20,47.3125,25.5625,20,20
"ENSMUSG00000050328",361.9375,193.875,154.09375,139.71875,109.25,165.1875,55.125,42.75,20,20,20,20,20,20,20,20
"ENSMUSG00000086903",27.25,41.9375,20,30.0625,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000001656",65.75,41.9375,77.59375,43.125,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000022484",63.1875,22.6875,42.90625,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000022485",75.3125,49.3125,45.1875,43.125,26.5625,31.5625,38.5,20,20,20,20,20,20,20,20,20
"ENSMUSG00000036139",37.75,20,67.0625,20,25.625,23.75,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000001657",20,20,20,22.5625,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000001661",46.0625,23.5,20,20,20,20.4375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000075394",360.84375,212.8125,140.09375,127.5625,99.21875,152.625,45.25,83.3125,25.5,37.1875,20,20,20,20,20,20
"ENSMUSG00000036061",1776.59375,1475.15625,1115.8125,1321.53125,1377.875,1593.1875,1088.1875,1114.125,923.125,1084.28125,920.9375,898.125,1047,1089.125,846.25,846.46875
"ENSMUSG00000009575",46694.4375,47553.875,40426.375,43968.1875,52584.4375,45974.875,55050.1875,54271,48183.3125,53597.9375,69127.375,66612.25,63350.625,78674.8125,88266.125,79106.3125
"ENSMUSG00000046434",46905.25,57616.5625,56860.375,58392.375,61737.375,61441.5625,61737.375,56231.4375,62423.4375,58099.4375,74330.625,56507.4375,72738,73234.375,83181.3125,65604.6875
"ENSMUSG00000058794",179.5,516.15625,343.28125,301.28125,314,405.03125,282.6875,275.75,74.6875,141,121.96875,169.625,92.875,69.0625,92.96875,57.9375
"ENSMUSG00000060992",9499.875,9387,10012.375,9983.6875,9875.6875,9533.65625,10938.5625,11289.625,11289.625,9440.0625,9480.375,9292.875,12500.8125,9743.75,9032.09375,8197.875
"ENSMUSG00000000552",871.1875,519.25,473.0625,350.96875,356.375,307.5625,443.9375,313.5625,452.625,336.25,558.1875,634.9375,777.25,624.0625,477.9375,497.75
"ENSMUSG00000000555",3359.8125,3601.0625,3367.5625,3369.125,4063.75,4165.625,3342.4375,3348.375,1939.8125,2307.875,1889.9375,2304.4375,1559.5625,1909,2049.09375,1798.78125
"ENSMUSG00000022487",319.375,389.9375,463.3125,540.5625,508.625,415.0625,627.3125,573.375,1024.625,825.375,789.3125,742.1875,364.4375,456.75,51.9375,64.3125
"ENSMUSG00000053508",20,20,22.5625,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000022488",3598.9375,5460.5,5082.6875,5383.875,4013.3125,3991.25,3780.1875,4364.1875,3266.4375,5285.375,2981.0625,3180.0625,1526.8125,2267.125,323.0625,477.21875
"ENSMUSG00000022489",657.3125,677.8125,673,604.5625,623.25,913.875,829.875,896.1875,1864.71875,1557.875,1234.03125,1268.125,833.78125,487.1875,820.9375,1007.375
"ENSMUSG00000022490",436.5,415.9375,317.65625,505.375,453.6875,393.3125,867.0625,817.625,1721.625,1189.78125,1498,1530.875,1975.8125,1509.28125,1091.125,1393.03125
"ENSMUSG00000116455",20,20,30.5,28.9375,36.8125,20,40.71875,22.1875,20,20,20,20,20,20,20,20
"ENSMUSG00000095834",1847.96875,1949.25,1495.8125,1438.9375,746.0625,810.3125,1197.25,1402.53125,1595.03125,1648.5,1686,1777.5,1005.15625,1401.6875,570.875,1969.6875
"ENSMUSG00000022529",4399.8125,4953.6875,3526.4375,3732.53125,3971.1875,3788.125,3902.0625,4004.375,3247.125,3510.1875,3623.8125,3728.375,4108.9375,3995.15625,3566.3125,4069.6875
"ENSMUSG00000115961",26.1875,54.625,116.875,73.9375,112.09375,51.25,101.1875,20,23.40625,20,20,20,20,20,20,20
"ENSMUSG00000118410",20,44.0625,90.125,76.1875,68.5625,35.25,56.875,23.1875,20,20,20,20,20,20,20,20
"ENSMUSG00000054939",293.6875,289.8125,73.8125,140.71875,147.9375,158.75,143.5,134.25,191.1875,332,102.09375,89.0625,100.375,161.6875,119.3125,135.875
"ENSMUSG00000039789",810.875,1073.8125,1942.25,1800.1875,1236.625,1249.1875,925.9375,1046.625,821.8125,1056.375,1071.0625,1002.25,856.3125,1107.4375,1009,1081.3125
"ENSMUSG00000005982",949,1197.875,999.46875,1020.15625,1290.75,1372.6875,1229.65625,1116.65625,1260.375,1128.5625,1476.78125,1487.3125,1998.5,1262.0625,1244.5625,1106.125
"ENSMUSG00000005983",68.625,69.0625,95.125,77.15625,92.0625,69.3125,111.0625,103.6875,85.21875,95.125,145.1875,165.78125,231.125,208.9375,153.375,153.25
"ENSMUSG00000014232",884.6875,858.96875,747.3125,877.46875,831.875,777.5625,906,889.8125,835.8125,763.25,880.125,836.65625,760.78125,1278.25,530.6875,650.25
"ENSMUSG00000049871",118.4375,170.46875,86.8125,109.125,187.6875,383.78125,95.03125,105.8125,27.5,34.625,20,25.8125,20,37.125,27.875,22.375
"ENSMUSG00000039738",3402.6875,4813.375,3489.3125,3442.9375,5569.5,4601.15625,6113.03125,4687.8125,4274.125,3561.875,4285.9375,4207.0625,3429.125,2738.4375,2278.21875,2303.625
"ENSMUSG00000084790",39.9375,80.8125,45.1875,35.875,93,91.4375,150.875,126.125,120.59375,79.9375,106.75,135.875,44.1875,50.3125,45.1875,50.3125
"ENSMUSG00000005980",186.3125,319.75,281.03125,224.15625,462.125,464.78125,510.9375,547.5,398.78125,333.125,512.3125,554.09375,252.9375,216.1875,274.71875,344.1875
"ENSMUSG00000005981",20963.625,20610.15625,19331.875,17612.4375,15639.4375,15482.1875,17547.125,17214.875,19677.5,20918.1875,21428.6875,20288.625,21742.1875,24858.5625,21962.875,25111.8125
"ENSMUSG00000022521",10018,9728.9375,8377.1875,7650.5625,7774.0625,8062.875,7839.1875,6356.71875,7218.5625,6925.625,7501.46875,11669.4375,8131.125,6594.25,8541.3125,7329.28125
"ENSMUSG00000103937",40.875,63.5625,71.6875,114.625,54.875,49.1875,48.4375,55.6875,29.53125,78.9375,55.9375,81.1875,20,56.6875,40.25,65.375
"ENSMUSG00000005580",588.75,754.8125,679.75,550.53125,611.375,564.75,678.84375,631.625,358.125,438.125,239.90625,244.6875,339.25,599.125,337.625,489.4375
"ENSMUSG00000022519",1197.875,761.3125,897.71875,855.8125,408.1875,297.25,950.0625,1162.53125,2498.25,2625.0625,3605.1875,4468.375,4681.875,4461.8125,4475.9375,5035.25
"ENSMUSG00000083585",20,20,20,20,20,20,20,20,20,20,23.1875,49.0625,20,20,20,20
"ENSMUSG00000005718",1669.0625,1548.625,729.125,1034.15625,1458.21875,1776.3125,2049.625,1705.125,3017.25,1944.15625,3419.875,2947.75,2939.875,2514.21875,2433.125,2722.75
"ENSMUSG00000014303",2134,1832.25,1556.15625,1400.28125,2622.8125,2149.28125,2620.625,1828.625,1690.4375,1103.78125,1707.46875,1697.5,2177.0625,1256.46875,1703.9375,1036.34375
"ENSMUSG00000014301",1000.09375,994.375,1094.09375,1186.5,994.25,1081.0625,1165.71875,1006.75,1205.3125,981.875,1355.5625,1288.6875,1673.25,1395.15625,1139.3125,1242.46875
"ENSMUSG00000039637",2405,2007.71875,1987.84375,1524.28125,990.8125,957.5625,1118.46875,866.09375,856.25,1132.875,1278.625,1367.5,1591.25,1643.875,2227.0625,1912.0625
"ENSMUSG00000039646",184.78125,186.25,420.5625,391.375,198.5,226.1875,194,144.15625,240.59375,236.84375,1298.84375,1171.625,1519.875,1406.4375,1102.125,745.25
"ENSMUSG00000004069",8979.5625,6715.15625,6126.8125,5587.0625,7879.84375,7695.75,7466.75,6899.625,8323.375,6336,6925.625,6646.6875,8750.59375,7030.375,8133.875,7035.9375
"ENSMUSG00000063445",2250.40625,1824.1875,1969.9375,1893.9375,1807.6875,1780.4375,2301.46875,2320.53125,3786.9375,3442,4438.6875,4172.4375,5523.9375,5724.4375,4988.375,6077.625
"ENSMUSG00000004070",1844.1875,1781.25,1852.8125,2059.5,1820.15625,1847.375,2013.4375,2011.875,2424.5,2149.28125,2285.375,2307.5,2476.375,1990.3125,1826.6875,1744.3125
"ENSMUSG00000086944",20,20.25,21.5,20,31.9375,20,31,22.1875,20,20,30.6875,38.375,20,28.5625,27.875,30.125
"ENSMUSG00000004071",4840.3125,4390.5625,3905.125,3662.0625,4335.1875,3833.4375,3916.59375,3305.875,3337.125,3252.78125,3405.96875,3218.40625,3674.3125,3464.8125,3774.5,3698.375
"ENSMUSG00000086464",28.34375,50.375,20,20,20,20,34.9375,20,20,26.6875,20,20,20,20,20,23.3125
"ENSMUSG00000022518",23.3125,54.625,127.6875,81.75,20,20,24.4375,20,20,35.5,27.25,33,20,29.6875,35.125,25.5
"ENSMUSG00000039568",949,1214.5625,4002.125,3131.5625,1084.375,1050,1768.0625,1572.03125,2220.9375,2149.28125,2677.5625,2888.3125,2180.5625,2736.25,2289.875,2522.46875
"ENSMUSG00000022517",7966.875,6991.0625,6603.75,5345.9375,3453.6875,3754.0625,3618.25,3527.0625,3095.0625,3561.875,2928.84375,3318.53125,3934.40625,3528.375,5209.21875,4351.8125
"ENSMUSG00000097397",52.875,60.6875,97.875,89.1875,76,79.875,81,64.34375,45.9375,65.625,94.4375,46.75,57.75,30.5,37,30.125
"ENSMUSG00000022516",2460.625,2365.8125,1959,2567.78125,2075.8125,2146.375,2634.625,2417.125,2674.9375,2169.40625,2602,2421.625,2555.1875,1935.6875,1489.1875,1379.8125
"ENSMUSG00000022515",1312,2134.25,1246.9375,1389.1875,1602.96875,1582.375,1708.03125,1670.25,1077.5,1418.75,1400.5,1460.6875,1182.5,1662.3125,1191.9375,1246.5
"ENSMUSG00000022543",79.75,77.71875,42.90625,35.875,68.5625,80.6875,82.0625,92.1875,53.5,85.21875,100.9375,144.0625,131.5,74.875,117,98.25
"ENSMUSG00000096215",86.875,49.3125,55.75,84.6875,58.375,32.5625,72,73.8125,87.9375,120.25,43.4375,62.3125,56.6875,59,49.0625,44.28125
"ENSMUSG00000022540",1494.4375,1597.3125,1580.75,1545.875,1436.8125,1321.53125,1776.875,1641.5,1624.625,1370.3125,1231,1195.9375,1262.875,1540.28125,1320.71875,1318.53125
