"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000040488",7033,4548.9375,4630.15625,3227.59375,5147.625,4601.15625,7514.1875,6076.125,7359.875,4961.125,5329.375,5524.84375,4175.1875,3336.0625,3521.375,2210.6875
"ENSMUSG00000089832",1702.34375,1192.46875,1124.6875,1155.125,1163.40625,1212.65625,1667.3125,1591.75,1857.71875,1607.28125,2139.0625,2107.5,2865.125,1749.25,2480.1875,1801.875
"ENSMUSG00000011751",1120.875,1333.0625,858.96875,887.0625,1041.4375,1381.5625,1764.46875,1750.5625,2943.5,2143.375,2363,2690.3125,1170.0625,1324.5,955.5625,719.8125
"ENSMUSG00000108416",32.1875,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000040466",2798.5,2105.375,2762.75,2439.875,1603.96875,1717.59375,1414.1875,1288.6875,1757.5625,2078,2270.96875,2491.375,2447.28125,3221.5,2690.3125,2998.21875
"ENSMUSG00000082016",60.75,20,20,20,20,20,20,20,20,20,20,27.09375,28.375,20,20,20
"ENSMUSG00000055200",1147.40625,1181.96875,960.0625,1240,1079.125,1138.21875,1179.25,1197.3125,999.90625,1212.65625,1098.875,1233.125,928.375,658.4375,471.1875,344.1875
"ENSMUSG00000008384",1067,898.5,3359.375,2467.375,1889.6875,2008.0625,1775.90625,1927,1217.71875,834.375,760.25,760.25,901.8125,654.5,572.5625,514.375
"ENSMUSG00000053198",2539.3125,2064.625,1628.3125,1639.21875,1596.15625,1684,2104.25,2089.5625,1368.90625,1505.875,960.375,783.8125,995.6875,1368.15625,656.4375,761.375
"ENSMUSG00000087371",31.3125,51.1875,20,32.09375,46.875,25.5625,62.75,60.9375,38.375,36.3125,33,51.3125,52.9375,48.375,102.0625,29.125
"ENSMUSG00000040424",95.75,76.125,79.9375,100.875,27.375,28.25,64.9375,72.5625,90.25,86.875,195.1875,249.65625,144.5625,195.375,73.34375,77.4375
"ENSMUSG00000003363",4937.84375,4221.875,3896.1875,3148.4375,2153.5,2381.53125,2688.75,2286.5,2839.4375,2827.375,2596.9375,2617.5,2600.1875,2354.375,2152.8125,2009.5625
