"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"20137","ENSMUSG00000105418",20,20,20,20,30,20,23,20,31,20,20,20,20,20,20,20,7286
"20138","ENSMUSG00000105419",36,35,41,52,38,29,52,20,20,24,20,20,20,20,20,20,1968
"20139","ENSMUSG00000105422",20,20,20,20,20,20,20,20,26,20,415,351,211,220,51,57,938
"20140","ENSMUSG00000105429",21,20,20,21,26,24,21,20,20,33,43,20,20,20,20,20,1062
"20141","ENSMUSG00000105434",149,349,204,279,254,208,201,203,122,160,282,319,94,143,147,191,2200
"20142","ENSMUSG00000105440",50,30,85,68,78,148,66,55,68,45,28,20,20,20,20,20,9646
"20143","ENSMUSG00000105445",20,20,20,20,20,20,20,20,20,20,20,20,20,21,86,52,5617
"20144","ENSMUSG00000105447",20,21,22,30,35,51,28,20,21,35,49,27,26,59,80,58,1734
"20145","ENSMUSG00000105449",187,210,234,171,198,218,241,205,131,189,151,151,93,180,208,254,7726
"20146","ENSMUSG00000105453",41,42,20,20,20,20,20,20,20,30,20,43,20,20,38,20,2546
"20147","ENSMUSG00000105457",20,76,25,58,24,23,20,20,20,43,37,35,25,75,89,75,2161
"20148","ENSMUSG00000105460",20,20,35,20,26,20,32,22,24,33,37,28,20,20,20,27,1604
"20149","ENSMUSG00000105466",43,44,41,73,84,45,40,42,58,42,38,40,42,38,60,43,2371
"20150","ENSMUSG00000105471",38,48,20,22,29,20,23,20,20,24,20,20,20,20,20,27,26892
"20151","ENSMUSG00000105472",35,91,58,67,46,80,52,40,42,24,60,76,49,68,53,48,4352
"20152","ENSMUSG00000105476",20,20,20,20,20,20,20,20,20,26,20,20,20,20,20,20,7687
"20153","ENSMUSG00000105482",31,20,28,20,33,28,21,20,20,20,20,20,20,82,33,49,1958
"20154","ENSMUSG00000105503",20,39,37,56,28,45,20,20,20,20,31,36,20,27,23,39,4321
"20155","ENSMUSG00000105509",341,318,1548,925,1026,1082,657,491,268,211,93,52,48,52,52,36,3692
"20156","ENSMUSG00000105510",20,32,30,69,32,20,25,20,20,36,23,31,22,56,56,93,990
"20157","ENSMUSG00000105512",20,20,20,20,32,31,29,43,22,22,29,43,45,52,60,50,1374
"20158","ENSMUSG00000105514",20,20,28,20,20,21,20,20,20,20,20,20,20,20,23,20,1853
"20159","ENSMUSG00000105517",20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3656
"20160","ENSMUSG00000105519",71,139,162,134,72,110,69,79,26,67,90,75,20,87,47,82,3459
"20161","ENSMUSG00000105526",20,20,20,20,20,20,20,20,20,20,20,20,20,20,36,21,2652
"20162","ENSMUSG00000105528",20,20,26,20,20,29,36,38,40,108,119,97,26,57,139,148,1872
"20163","ENSMUSG00000105534",20,35,28,36,20,46,24,26,20,25,20,21,20,21,35,21,1448
"20164","ENSMUSG00000105536",22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1044
"20165","ENSMUSG00000105552",48,78,57,62,29,46,40,24,20,36,27,20,26,36,55,37,22686
"20166","ENSMUSG00000105554",20,20,20,20,21,20,20,20,20,20,20,20,20,20,30,20,1682
"20167","ENSMUSG00000105556",135,233,152,174,111,129,109,91,49,133,67,80,36,83,117,88,2643
"20168","ENSMUSG00000105558",1261,981,614,914,768,867,932,968,1401,1348,1542,1705,2071,1360,1327,1063,1305
"20169","ENSMUSG00000105561",49,205,104,130,98,120,73,76,23,140,50,74,47,60,73,99,3648
"20170","ENSMUSG00000105565",30,34,88,47,87,91,74,61,86,73,104,74,119,63,48,27,808
"20171","ENSMUSG00000105568",20,20,20,20,20,20,20,20,20,20,20,20,20,20,42,20,2079
"20172","ENSMUSG00000105570",20,20,26,20,20,22,20,20,20,20,20,20,20,20,20,20,1265
"20173","ENSMUSG00000105572",97,200,178,218,111,137,66,75,54,143,74,116,70,100,309,215,2043
"20174","ENSMUSG00000105586",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,3566
"20175","ENSMUSG00000105590",20,20,22,20,20,20,20,20,20,20,20,20,20,20,20,21,3274
"20176","ENSMUSG00000105594",22,20,20,20,27,50,32,25,20,20,20,20,20,20,20,20,2742
"20177","ENSMUSG00000105597",37,61,51,44,42,20,42,52,20,30,20,20,20,20,20,23,1073
"20178","ENSMUSG00000105600",28,20,20,20,20,20,20,20,20,20,20,27,39,29,20,20,1151
"20179","ENSMUSG00000105601",34,20,39,20,50,70,72,52,113,151,160,128,62,157,147,144,4193
"20180","ENSMUSG00000105603",259,291,214,165,111,75,83,31,28,20,20,20,20,20,20,20,1447
"20181","ENSMUSG00000105607",20,44,20,25,38,31,48,47,24,44,39,39,31,59,32,63,1076
"20182","ENSMUSG00000105613",56,130,58,32,47,62,83,47,63,25,42,57,29,44,22,32,6573
"20183","ENSMUSG00000105624",20,20,20,20,22,20,20,20,20,20,22,36,20,20,50,20,2397
"20184","ENSMUSG00000105632",54,82,34,39,28,50,34,26,24,27,20,32,20,28,24,25,1584
"20185","ENSMUSG00000105636",20,32,20,20,20,20,20,20,20,20,20,23,20,20,27,20,1539
"20186","ENSMUSG00000105643",78,196,298,271,152,188,160,136,92,161,111,139,56,104,167,138,3407
"20187","ENSMUSG00000105655",24,20,44,49,20,23,23,20,21,28,20,20,20,20,25,20,1754
"20188","ENSMUSG00000105656",20,20,28,27,26,20,20,21,20,26,26,27,20,51,51,38,752
"20189","ENSMUSG00000105659",20,20,34,41,20,20,20,20,20,20,20,20,20,30,52,30,1215
"20190","ENSMUSG00000105662",20,31,20,28,36,31,29,29,22,74,34,33,20,50,20,20,69012
"20191","ENSMUSG00000105676",31,20,24,28,20,41,38,20,20,20,20,20,20,69,43,26,1786
"20192","ENSMUSG00000105677",49,55,32,40,52,44,44,49,20,54,40,37,27,49,47,50,1434
"20193","ENSMUSG00000105679",20,20,28,21,20,20,22,20,24,29,33,32,35,74,99,60,2223
"20194","ENSMUSG00000105687",26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1897
"20195","ENSMUSG00000105691",20,27,20,20,20,27,29,20,20,26,20,20,20,20,20,24,3215
"20196","ENSMUSG00000105692",347,511,411,464,222,271,273,209,180,231,245,191,231,201,258,208,2740
