external_gene_name,ensembl_gene_id,SRR7624365,SRR7624366,SRR7624367,SRR7624368,SRR7624369,SRR7624370,SRR7624371,SRR7624372,SRR7624373,SRR7624374,SRR7624375,SRR7624376,SRR7624377,SRR7624378,SRR7624379,SRR7624380
Celf6,ENSMUSG00000032297,14,8,14,10,18,6,14,12,12,23,24,14,41,48,34,21
Parp6,ENSMUSG00000025237,871,882,460,473,864,829,714,729,686,778,722,779,1023,878,1410,1076
Pkm,ENSMUSG00000032294,202436,160497,104116,145207,101760,119926,103599,118165,170019,201729,208509,172429,292017,234611,182068,182836
Gm49759,ENSMUSG00000111394,1082,3668,1090,1806,1532,1880,1982,2651,2722,4171,3549,3906,1793,2349,1490,1435
Gramd2,ENSMUSG00000074259,172,136,61,153,284,274,222,189,126,109,170,146,370,304,286,207
Senp8,ENSMUSG00000051705,1300,829,453,409,737,845,742,678,916,862,1101,867,1591,1230,2392,1629
Myo9a,ENSMUSG00000039585,8403,10540,7747,8936,9058,10058,7864,8307,5780,8725,6915,5977,5195,5651,7325,5742
Gm7613,ENSMUSG00000087239,4,4,4,8,11,8,6,20,4,3,4,13,2,3,8,7
Gm20275,ENSMUSG00000110803,107,104,38,50,43,28,30,30,24,43,25,18,8,26,37,24
Gm2735,ENSMUSG00000085116,7,22,16,11,23,12,11,14,9,13,1,16,0,4,1,15
Gm48805,ENSMUSG00000111833,4,7,5,5,3,8,10,2,0,4,6,1,4,4,5,1
Nr2e3,ENSMUSG00000032292,42,43,34,8,38,2,5,6,3,16,4,8,7,4,4,0
Gm7616,ENSMUSG00000084913,0,0,1,0,2,2,0,0,0,5,0,0,0,1,0,0
Gm15507,ENSMUSG00000084847,3,0,0,2,0,0,4,6,0,1,0,0,0,0,0,4
Thsd4,ENSMUSG00000032289,260,191,237,67,112,55,46,26,16,3,6,4,24,14,160,98
Gm23668,ENSMUSG00000088090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010001M07Rik,ENSMUSG00000111296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47676,ENSMUSG00000111065,2,4,1,2,2,0,0,0,2,0,0,0,0,2,10,0
Gm22099,ENSMUSG00000088550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9230112J17Rik,ENSMUSG00000111761,3,6,4,4,4,0,0,0,0,0,3,0,2,0,1,0
Gm49334,ENSMUSG00000111809,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Gm47740,ENSMUSG00000111667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm17853,ENSMUSG00000111512,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Lrrc49,ENSMUSG00000047766,717,619,409,623,862,885,716,693,533,439,664,406,890,468,801,646
Larp6,ENSMUSG00000034839,40,41,26,32,8,4,12,4,18,16,7,4,24,2,21,12
1700036A12Rik,ENSMUSG00000095956,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Uaca,ENSMUSG00000034485,5994,5023,4270,4105,3019,3491,2554,2592,2726,3357,2918,2661,2407,3272,3631,3553
Gm9869,ENSMUSG00000052143,3,5,4,4,1,1,7,1,2,6,0,2,2,0,2,1
Gm47923,ENSMUSG00000111444,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Gm5122,ENSMUSG00000111290,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,2
